"RutC","Nombre"
"12373064-2","Ivan Muñoz"
"12383272-4","Andrea Benitez"
"12398878-3","Camilo Morales"
"12399948-4","Esteban Martinez"
"12419793-2","Pablo Quinteros"
"12428173-1","Angel Medina"
"12430837-2","Daniela Benitez"
"12460133-7","Sofia Lopez"
"12467789-6","Julian Romero"
"12484992-8","Lucas Martinez"
"12535695-6","Roberto Ramirez"
"12557352-7","David Sosa"
"12562035-6","Bianca Lopez"
"12597738-3","Sofia Martinez"
"12604212-5","Hugo Ramirez"
"12611884-7","Paula Lopez"
"12613352-5","Laura Godoy"
"12621014-3","Felipe Perez"
"12623728-2","Constanza Rodriguez"
"12635560-3","Carlos Romero"
"12636133-9","Bruno Gutierrez"
"12656082-k","Celeste Silva"
"12690699-2","Juan Gonzalez"
"12698243-9","Ricardo Quinteros"
"12700058-5","Daniela Romero"
"12758246-0","Gabriela Castro"
"12764959-0","Paulina Vega"
"12765419-1","Sebastian Gomez"
"12773333-3","Pablo Martinez"
"12776718-2","Daniela Diaz"
"12777311-7","Paula Vega"
"12779727-2","David Nuñez"
"12827230-4","David Suarez"
"12828180-2","Francisca Pereyra"
"12867277-k","Natalia Ramirez"
"12877558-6","Sofia Bueno"
"12879017-0","Sofia Sanchez"
"12885989-2","Bianca Quinteros"
"12905321-7","Dylan Rojas"
"12906102-7","Carlos Acosta"
"12934558-4","Benjamin Rios"
"12964476-k","Sam Benitez"
"12977668-4","Juan Gutierrez"
"12995119-8","Rebeca Silva"
"12995226-7","Alan Herrera"
"13001416-0","Rebeca Aguirre"
"13033426-2","Nicolas Fernandez"
"13051287-4","Matias Romero"
"13051844-8","Sara Rios"
"13056001-k","Raul Rios"
"13072955-2","Carlos Sanchez"
"13080141-3","Sebastian Gomez"
"13087068-8","Ian Torres"
"13093244-7","Natalia Perez"
"13114612-9","Max Quinteros"
"13138149-8","Camilo Molina"
"13158500-6","Paulina Sanchez"
"13176940-k","Elena Perez"
"13177183-6","Pablo Torres"
"13180437-2","Sebastian Martinez"
"13251363-0","Celeste Morales"
"13253355-2","Tamara Aguirre"
"13287652-4","Catalina Godoy"
"13310724-9","Emilio Suarez"
"13327869-1","Valeria Vega"
"13360849-2","Alan Morales"
"13386466-k","Carlos Rojas"
"13395070-4","Isidora Rios"
"13421144-k","Flor Godoy"
"13426811-8","Francisca Gutierrez"
"13447771-7","Roberto Sanchez"
"13451617-5","Bruno Gonzalez"
"13472983-4","Ignacio Godoy"
"13495835-8","Fernando Vega"
"13501648-8","Camilo Pereyra"
"13527954-6","Alan Rojas"
"13541770-5","Facundo Aguirre"
"13543687-5","Felipe Torres"
"13552992-3","Joaquin Romero"
"13559609-8","Valeria Ruiz"
"13579572-3","Ian Rodriguez"
"13595142-k","Nicole Rojas"
"13600001-k","Luis Romero"
"13603059-3","Marisol Bueno"
"13605305-4","Ian Gonzalez"
"13607666-0","Bianca Pereyra"
"13615018-5","Ignacio Aguirre"
"13618160-7","Camilo Herrera"
"13635774-5","Bruno Torres"
"13644034-0","Marisol Vega"
"13667876-1","Pedro Silva"
"13675642-2","Roberto Quinteros"
"13676803-6","Alex Torres"
"13693803-5","Isabel Sosa"
"13697469-8","Francisca Gutierrez"
"13705952-1","Joaquin Acosta"
"13715843-9","Roberto Gonzalez"
"13736347-9","Ximena Ruiz"
"13758816-9","Raul Acosta"
"13765219-4","Francisca Torres"
"13767180-8","Emilio Gomez"
"13767966-8","Dylan Lopez"
"13781120-9","Celeste Lopez"
"13798388-0","Macarena Godoy"
"13806504-0","Maria Flores"
"13810372-6","Valentina Rojas"
"13822374-8","Joaquin Sosa"
"13823508-k","Lucas Gomez"
"13828326-k","Pamela Quinteros"
"13856700-2","Camilo Ruiz"
"13867565-2","Karla Garcia"
"13917978-3","Daniela Nuñez"
"13921351-0","Hugo Castro"
"13940979-6","Camilo Acosta"
"13943240-4","Gabriela Muñoz"
"13945714-8","Isabel Rojas"
"14016140-1","Valeria Aguirre"
"14027767-0","Flor Suarez"
"14033225-8","Luis Martinez"
"14044715-3","Luis Gomez"
"14044949-2","Flor Suarez"
"14061309-k","Andrea Bueno"
"14084419-3","Enrique Torres"
"14105296-k","Julieta Perez"
"14123263-6","Celeste Acosta"
"14132290-1","Valeria Gomez"
"14138650-4","Luis Fernandez"
"14145803-6","Daniel Quinteros"
"14149723-3","Elena Suarez"
"14171726-6","Isidora Molina"
"14218125-7","Camilo Sosa"
"14228135-6","Enrique Godoy"
"14247247-4","Valeria Gomez"
"14253634-7","Paulina Torres"
"14257574-0","Angel Godoy"
"14276815-2","Isidora Pereyra"
"14284377-k","Alex Rodriguez"
"14290120-7","Camilo Gutierrez"
"14298983-4","Alex Martinez"
"14300378-8","Sebastian Ruiz"
"14332169-k","Juan Acosta"
"14332941-7","Marisol Rios"
"14335613-8","Max Herrera"
"14337411-0","Joaquin Gonzalez"
"14341626-9","Sofia Silva"
"14348444-2","Max Suarez"
"14373370-8","Antonio Rios"
"14387015-7","Alan Ruiz"
"14401608-5","Ignacio Romero"
"14412228-k","Ana Morales"
"14423549-4","Alfredo Ramirez"
"14425090-8","Pedro Rios"
"14427648-k","Carlos Castro"
"14439096-2","Daniel Rios"
"14487518-3","Flor Benitez"
"14488058-6","Luis Medina"
"14524782-6","Gabriela Diaz"
"14553164-2","Antonio Sanchez"
"14556123-k","Ignacio Rodriguez"
"14558175-k","Constanza Alvarez"
"14599165-7","Pablo Rojas"
"14599488-k","Paula Fernandez"
"14609900-6","Javier Flores"
"14616063-6","Ana Medina"
"14625618-9","Ricardo Muñoz"
"14691783-5","Constanza Martinez"
"14701618-1","Dylan Suarez"
"14701782-6","Karla Molina"
"14719222-4","Antonio Acosta"
"14724071-3","Marisol Sanchez"
"14725048-7","Rafael Pereyra"
"14743796-1","Matias Pereyra"
"14749199-3","Daniela Ruiz"
"14749709-9","Celeste Sanchez"
"14768676-8","Sofia Muñoz"
"14769498-0","Ian Pereyra"
"14770284-4","Ximena Ramirez"
"14774360-1","Fernando Molina"
"14787470-2","Luis Muñoz"
"14810129-5","Daniel Romero"
"14864252-0","Enrique Rodriguez"
"14894546-k","Ximena Ruiz"
"14905228-k","Ana Silva"
"14916521-3","Alex Bueno"
"14917247-7","Raul Castro"
"14918424-8","Felipe Rios"
"14919705-6","Camilo Rios"
"14932061-0","Esteban Muñoz"
"14947436-k","Alfredo Alvarez"
"14953110-0","Fernando Silva"
"14956748-9","Ivan Castro"
"14966767-0","Antonio Garcia"
"14969971-1","Ivan Fernandez"
"14995351-5","Pamela Sosa"
"14996634-7","Karla Nuñez"
"15009284-4","Pedro Silva"
"15018324-3","Gabriela Pereyra"
"15037830-6","Tamara Gutierrez"
"15044895-3","Ivan Ramirez"
"15061698-8","Daniel Nuñez"
"15063139-3","Diego Alvarez"
"15083138-3","Rebeca Quinteros"
"15098138-5","Julian Ruiz"
"15111350-2","Emilio Sosa"
"15113701-4","Celeste Morales"
"15122887-5","Dylan Muñoz"
"15130000-9","Marisol Medina"
"15135343-0","Dylan Castro"
"15164542-7","Paulina Flores"
"15165692-9","Facundo Herrera"
"15177835-k","Camilo Castro"
"15181722-2","Catalina Gutierrez"
"15210943-3","Valeria Alvarez"
"15211175-6","Sara Castro"
"15216115-k","Facundo Sosa"
"15227805-2","Emilio Sosa"
"15247554-3","Tamara Martinez"
"15282892-2","Alex Vega"
"15312308-8","Camilo Godoy"
"15320255-5","Dylan Molina"
"15370277-8","Enrique Herrera"
"15383944-0","Ana Martinez"
"15389778-6","Hugo Rojas"
"15395078-9","Elena Gutierrez"
"15404981-6","Carlos Morales"
"15407187-1","Ivan Fernandez"
"15411573-1","Sara Ruiz"
"15438523-2","Andrea Molina"
"15441231-4","Facundo Quinteros"
"15469103-3","Pablo Vega"
"15484723-2","Valeria Benitez"
"15485414-7","Ximena Torres"
"15485703-6","Raul Rios"
"15485877-7","Emilio Flores"
"15520049-k","Ignacio Suarez"
"15528686-2","Ivan Medina"
"15564211-2","Ignacio Gonzalez"
"15581031-8","David Silva"
"15601732-1","Felipe Morales"
"15605839-1","Valeria Torres"
"15609542-8","Max Medina"
"15613342-5","Ignacio Gutierrez"
"15615214-9","Catalina Martinez"
"15620003-7","Daniel Ruiz"
"15633204-k","Ricardo Martinez"
"15638885-2","Daniela Lopez"
"15639527-0","David Muñoz"
"15652727-2","Hugo Perez"
"15653202-7","Paula Martinez"
"15668385-1","Maria Fernandez"
"15671294-9","Karla Rodriguez"
"15681363-5","Rafael Lopez"
"15682738-4","Valentina Silva"
"15684738-4","Lucas Fernandez"
"15700784-3","Enrique Martinez"
"15706872-k","Bianca Lopez"
"15707082-0","Matias Perez"
"15717735-9","Antonio Molina"
"15730407-4","Ximena Gomez"
"15736925-1","Ian Gutierrez"
"15738269-9","Enrique Quinteros"
"15775046-3","Enrique Suarez"
"15777229-1","Laura Lopez"
"15778657-5","Ian Flores"
"15787194-1","Valentina Gutierrez"
"15787804-8","Paula Sosa"
"15796743-5","Alfredo Sosa"
"15804106-8","Roberto Sanchez"
"15863818-8","Ana Fernandez"
"15866308-9","Gabriela Godoy"
"15887640-7","Roberto Acosta"
"15905243-1","Paulina Alvarez"
"15918301-2","Laura Garcia"
"15926953-4","Alfredo Medina"
"15963325-4","Lucas Romero"
"15979046-4","Sebastian Martinez"
"15980862-0","Julian Ruiz"
"15981330-2","Joaquin Ramirez"
"16009131-2","Javier Rojas"
"16036699-4","Joaquin Fernandez"
"16047416-1","Sam Molina"
"16049832-6","Roberto Muñoz"
"16055411-1","Ricardo Nuñez"
"16086056-k","Pablo Diaz"
"16089346-1","Sofia Herrera"
"16114768-4","Carlos Suarez"
"16130198-2","Alan Aguirre"
"16155973-3","Elena Medina"
"16167206-3","Bruno Rodriguez"
"16171427-0","Laura Aguirre"
"16218569-2","Valentina Romero"
"16240288-k","Felipe Molina"
"16267009-9","Alan Quinteros"
"16274390-4","Natalia Castro"
"16302450-4","Isabel Ramirez"
"16304605-0","Bianca Torres"
"16315245-4","Sam Fernandez"
"16322069-9","Francisca Rios"
"16326039-k","Ana Sanchez"
"16334864-0","Andres Pereyra"
"16346514-9","Ana Muñoz"
"16362599-2","Rafael Nuñez"
"16379232-0","Nicole Gonzalez"
"16391008-3","Ana Muñoz"
"16435884-7","Ana Castro"
"16439419-7","Laura Muñoz"
"16439783-k","Valeria Flores"
"16478405-9","Tamara Aguirre"
"16491069-4","Alan Acosta"
"16494777-6","Lucas Gonzalez"
"16505716-0","Alan Perez"
"16518283-8","Lucas Godoy"
"16540666-6","Camilo Acosta"
"16542669-k","Esteban Alvarez"
"16548211-3","Bruno Vega"
"16549557-k","Celeste Herrera"
"16550359-1","Gabriela Aguirre"
"16564057-9","Luis Rios"
"16569650-8","Celeste Benitez"
"16582018-3","Camilo Rojas"
"16593240-k","Joaquin Gutierrez"
"16604405-0","Ricardo Diaz"
"16629894-8","Dylan Rodriguez"
"16632628-2","Luis Acosta"
"16636715-1","Luis Gutierrez"
"16639599-3","Nicole Medina"
"16653880-4","Isidora Romero"
"16677394-1","Alan Silva"
"16710780-9","Alfredo Benitez"
"16728871-1","Angel Flores"
"16733473-6","Sofia Ruiz"
"16765728-4","Joaquin Gonzalez"
"16765888-6","Pedro Morales"
"16823495-5","Gabriela Aguirre"
"16843845-5","Sara Martinez"
"16846507-0","Pamela Castro"
"16846561-4","Pamela Vega"
"16871053-k","Ximena Torres"
"16873584-0","Benjamin Diaz"
"16874860-8","Natalia Gutierrez"
"16891185-0","Joaquin Perez"
"16895570-k","Julian Rojas"
"16895893-1","Laura Diaz"
"16898457-0","Angel Nuñez"
"16900639-3","Gabriela Castro"
"16907632-4","Pedro Nuñez"
"16915316-k","Marisol Ruiz"
"16931957-k","Marisol Gutierrez"
"16944184-0","Celeste Quinteros"
"16969641-2","Esteban Vega"
"16987731-k","Andrea Medina"
"17008439-3","Isidora Diaz"
"17019466-4","Luis Martinez"
"17031562-k","Sofia Garcia"
"17040350-6","Juan Sanchez"
"17063081-1","Joaquin Alvarez"
"17090189-8","David Godoy"
"17092438-2","Julian Alvarez"
"17094062-3","Matias Ruiz"
"17109965-3","Celeste Romero"
"17122728-2","Luis Ramirez"
"17155448-5","Camilo Sosa"
"17168684-9","Sara Rojas"
"17175310-k","Rafael Suarez"
"17181473-0","Nicole Torres"
"17206394-k","Isabel Sosa"
"17210477-3","Pamela Muñoz"
"17219279-2","Joaquin Lopez"
"17227305-k","Francisca Rios"
"17227791-4","Alex Pereyra"
"17230815-1","Facundo Silva"
"17253905-6","Maria Quinteros"
"17261809-0","Camilo Flores"
"17266587-6","Nicolas Godoy"
"17280525-7","Paulina Lopez"
"17301659-7","Luis Benitez"
"17303307-9","Camilo Gutierrez"
"17329272-3","Matias Rojas"
"17329486-2","Gabriela Alvarez"
"17338532-9","Andrea Sosa"
"17352948-1","Daniel Godoy"
"17363606-8","Carolina Molina"
"17371250-5","Pablo Aguirre"
"17372403-3","Daniel Garcia"
"17393327-0","Camilo Rodriguez"
"17394153-6","Ricardo Martinez"
"17396524-6","Nicole Vega"
"17399902-5","Ignacio Morales"
"17406105-5","Catalina Vega"
"17442488-5","Dylan Garcia"
"17457191-7","Ana Sanchez"
"17461264-7","Felipe Alvarez"
"17461603-k","David Rios"
"17464763-7","Sam Ruiz"
"17482590-7","Rafael Rodriguez"
"17490348-7","Camilo Alvarez"
"17494047-6","Andrea Gutierrez"
"17511451-0","Karla Morales"
"17534634-6","Luis Vega"
"17548863-0","Maria Gutierrez"
"17585173-4","Natalia Bueno"
"17626467-5","Esteban Molina"
"17631522-4","Ana Martinez"
"17631731-6","Catalina Medina"
"17651295-5","Celeste Rios"
"17654326-2","Fernando Medina"
"17654539-7","Ignacio Torres"
"17660096-9","Sofia Medina"
"17661672-0","Ana Ruiz"
"17705078-1","Lucas Godoy"
"17708405-5","Tamara Vega"
"17711142-1","Lucas Molina"
"17738566-5","Luna Rojas"
"17741706-1","Ignacio Sosa"
"17771891-0","Carolina Flores"
"17777198-7","Isidora Vega"
"17785357-0","Julieta Sanchez"
"17800863-3","Roberto Suarez"
"17814924-0","Flor Diaz"
"17817723-4","Esteban Garcia"
"17820991-4","Ignacio Pereyra"
"17851180-7","Ricardo Sosa"
"17878980-0","Fernando Ramirez"
"17888292-3","Valentina Rios"
"17901282-5","David Lopez"
"17917980-6","Pedro Vega"
"17933811-5","Celeste Perez"
"17950415-9","Pamela Martinez"
"17960078-1","Paulina Gutierrez"
"17978698-2","Antonio Godoy"
"17978708-k","Camilo Vega"
"17999616-6","Valentina Martinez"
"18049175-k","Ian Aguirre"
"18057877-8","Emilio Sanchez"
"18065628-4","Diego Quinteros"
"18077104-3","Ana Acosta"
"18077782-k","Joaquin Torres"
"18098095-1","Carlos Flores"
"18114559-0","Esteban Aguirre"
"18115594-7","Alex Rodriguez"
"18119019-k","Bruno Fernandez"
"18129935-1","Sam Aguirre"
"18131389-7","Valeria Gutierrez"
"18134625-4","Julieta Diaz"
"18169938-0","Isabel Nuñez"
"18201436-4","Javier Nuñez"
"18206492-4","Valentina Castro"
"18216760-0","Alan Ruiz"
"18217122-7","Bruno Gonzalez"
"18217236-8","Pamela Muñoz"
"18218939-9","Rafael Muñoz"
"18228449-k","Sebastian Romero"
"18237524-1","Joaquin Sosa"
"18247213-3","Nicolas Garcia"
"18288907-0","Esteban Lopez"
"18299515-4","Benjamin Torres"
"18303877-7","Maria Martinez"
"18317364-7","Luis Silva"
"18324513-2","Emilio Ramirez"
"18331164-0","Maria Bueno"
"18362451-1","Celeste Diaz"
"18374033-5","Valentina Benitez"
"18407045-3","Tamara Morales"
"18409648-9","Emilio Pereyra"
"18437929-9","Diego Diaz"
"18450769-6","Pamela Castro"
"18474437-5","Julieta Medina"
"18483537-0","Pamela Castro"
"18492641-k","Esteban Godoy"
"18516050-1","Roberto Garcia"
"18552186-0","Joaquin Suarez"
"18572600-8","Pablo Suarez"
"18574899-k","Isidora Torres"
"18586096-0","Emilio Torres"
"18595277-3","Pamela Acosta"
"18600532-8","Ricardo Pereyra"
"18606698-6","Javier Rios"
"18622587-k","Elena Torres"
"18626693-2","Francisca Flores"
"18630809-0","Rafael Godoy"
"18631120-9","Esteban Lopez"
"18636428-8","Ignacio Flores"
"18636657-k","Pablo Rios"
"18648095-5","Fernando Garcia"
"18660333-3","Luis Diaz"
"18660825-4","Gabriela Acosta"
"18661228-k","Alan Medina"
"18674335-1","Benjamin Suarez"
"18734319-0","Angel Sosa"
"18740684-8","Ximena Martinez"
"18743719-5","Daniela Diaz"
"18749851-9","Celeste Silva"
"18753000-6","Julian Bueno"
"18770893-3","Isabel Fernandez"
"18783342-5","Catalina Vega"
"18807117-1","Juan Diaz"
"18809431-8","Daniel Muñoz"
"18813263-4","Max Torres"
"18864795-0","Enrique Suarez"
"18866491-0","Luna Fernandez"
"18882428-8","Alfredo Romero"
"18898465-k","Macarena Nuñez"
"18924857-0","Camilo Morales"
"18940276-3","Catalina Gutierrez"
"18943805-7","Luna Alvarez"
"18948863-4","David Ramirez"
"18963368-k","Fernando Rodriguez"
"18963549-0","Paulina Gutierrez"
"18991769-1","Rafael Rodriguez"
"18992562-0","Valentina Gomez"
"19009863-0","Antonio Torres"
"19020353-8","Nicole Alvarez"
"19026717-9","Pablo Lopez"
"19026961-3","Enrique Suarez"
"19033204-3","Marisol Flores"
"19046212-3","Ivan Romero"
"19055198-0","Tamara Pereyra"
"19087032-k","Rafael Medina"
"19092277-7","Alfredo Flores"
"19116057-2","Bruno Martinez"
"19117513-4","Javier Rios"
"19140605-6","Facundo Nuñez"
"19152630-4","Daniela Nuñez"
"19156540-8","David Bueno"
"19157604-7","Dylan Fernandez"
"19174079-1","Catalina Gonzalez"
"19184600-0","Benjamin Suarez"
"19193124-4","Pablo Gonzalez"
"19204276-2","Joaquin Sosa"
"19216713-2","Isabel Gonzalez"
"19225627-2","Andres Suarez"
"19248773-0","Flor Gutierrez"
"19252941-5","Alfredo Sosa"
"19255050-9","Valeria Suarez"
"19259002-8","Nicolas Aguirre"
"19278133-8","Elena Castro"
"19294495-9","Ximena Suarez"
"19315065-7","Carlos Godoy"
"19334834-5","Carlos Morales"
"19335110-1","Valentina Ruiz"
"19340427-2","Max Gutierrez"
"19355543-6","Daniela Lopez"
"19363861-8","Valeria Castro"
"19366069-2","Sara Godoy"
"19391599-3","Angel Silva"
"19417697-k","Maria Molina"
"19443525-3","Isidora Morales"
"19467057-0","Dylan Diaz"
"19467963-8","Ignacio Quinteros"
"19469841-5","Karla Acosta"
"19473444-k","Sofia Ruiz"
"19473500-2","Andres Suarez"
"19483637-3","Sofia Sanchez"
"19486046-8","Francisca Herrera"
"19486455-7","Sofia Sanchez"
"19528301-0","Macarena Rojas"
"19552856-3","Esteban Herrera"
"19554510-1","Pamela Lopez"
"19565542-5","Roberto Bueno"
"19575731-6","Javier Vega"
"19582328-2","Joaquin Torres"
"19603331-0","Alfredo Sosa"
"19622993-8","Nicole Medina"
"19670263-2","Valeria Perez"
"19675443-k","Isidora Nuñez"
"19679534-6","Valeria Bueno"
"19679629-1","Antonio Sanchez"
"19746460-9","Camilo Pereyra"
"19758685-7","Karla Romero"
"19769634-2","Luna Muñoz"
"19774171-6","Bianca Lopez"
"19826611-k","Andrea Flores"
"19837396-5","Julian Castro"
"19859239-6","Luis Ruiz"
"19924071-3","Andrea Nuñez"
"19927653-9","Ximena Herrera"
"19934401-3","Ivan Ruiz"
"19954170-0","Sebastian Sanchez"
"19970660-k","Felipe Diaz"
"19971970-1","Joaquin Benitez"
"19973449-7","Valentina Benitez"
"19979491-4","Daniel Godoy"
"19984047-2","Angel Medina"
"20017419-6","Ignacio Molina"
"20029942-1","Antonio Martinez"
"20036172-6","Catalina Quinteros"
"20038299-k","Emilio Medina"
"20045388-0","Ivan Bueno"
"20050867-7","Karla Alvarez"
"20054343-0","Bruno Suarez"
"20058796-1","Camilo Lopez"
"20064244-5","Catalina Aguirre"
"20085358-6","Macarena Torres"
"20110809-8","Sam Vega"
"20113042-4","Maria Medina"
"20116004-3","Matias Muñoz"
"20129193-1","Alex Lopez"
"20139439-8","Lucas Romero"
"20143980-9","Marisol Godoy"
"20158464-6","Nicole Flores"
"20163212-7","Fernando Gomez"
"20187328-1","Sofia Martinez"
"20199876-5","Alfredo Perez"
"20199967-9","Carlos Quinteros"
"20211889-7","Francisca Acosta"
"20214213-3","Ivan Sosa"
"20216754-5","Sam Morales"
"20217243-4","Isidora Martinez"
"20226010-9","Javier Sanchez"
"20254362-7","Camilo Ruiz"
"20287021-8","Tamara Torres"
"20288978-k","Daniel Gutierrez"
"20294955-1","Luis Benitez"
"20299661-1","Laura Molina"
"20305893-5","Paulina Pereyra"
"20309713-3","Macarena Gutierrez"
"20314770-3","Sam Romero"
"20319057-9","Camilo Martinez"
"20332018-5","Karla Herrera"
"20337295-1","Diego Perez"
"20338419-1","Luis Quinteros"
"20350018-6","Isabel Ruiz"
"20361077-5","Julian Bueno"
"20363349-6","Bianca Gutierrez"
"20372200-2","Celeste Rodriguez"
"20391171-2","Benjamin Ruiz"
"20392759-9","Diego Pereyra"
"20401942-7","Carlos Nuñez"
"20411326-6","Juan Diaz"
"20414207-0","Javier Aguirre"
"20424724-2","Antonio Gomez"
"20441380-9","Andres Rojas"
"20473342-1","Camilo Sanchez"
"20486586-5","Isabel Medina"
"20513198-8","Sofia Lopez"
"20518780-8","Felipe Suarez"
"20535525-0","Raul Molina"
"20545932-4","Rebeca Garcia"
"20549985-9","Nicolas Martinez"
"20563703-4","Rafael Martinez"
