"CódigoT","RutC","CódigoH","CódigoPeli","NúmSala","NúmSucur","Premium","Forma_Compra","Punto_Sumado"
"401","13579572-3","56","115","5","7","no","efectivo","45"
"405","19020353-8","562","2","9","1","no","tarjeta","19"
"407","13310724-9","390","82","7","6","si","efectivo","93"
"408","20199967-9","39","30","5","7","si","tarjeta","83"
"410","10409105-6","645","60","13","1","si","efectivo","71"
"415","10620918-k","26","6","2","6","no","efectivo","96"
"416","11610579-3","14","1","4","1","no","tarjeta","62"
"417","12156610-1","463","102","6","4","no","tarjeta","66"
"420","15717735-9","150","39","5","7","si","efectivo","59"
"421","17534634-6","372","5","12","1","no","tarjeta","55"
"422","17738566-5","256","82","7","1","no","tarjeta","47"
"425","11648952-8","66","113","4","1","no","tarjeta","31"
"426","18114559-0","178","65","11","1","si","tarjeta","33"
"429","10727329-0","444","56","3","6","si","efectivo","21"
"434","20728319-9","369","31","6","1","no","efectivo","61"
"436","19157604-7","451","59","3","2","no","tarjeta","66"
"438","20045388-0","633","84","3","4","si","tarjeta","17"
"447","16505716-0","553","61","1","5","si","efectivo","68"
"448","13093244-7","431","66","9","1","no","tarjeta","34"
"452","16055411-1","151","1","4","5","no","efectivo","25"
"455","10550050-8","273","104","3","2","no","tarjeta","30"
"457","18660333-3","312","19","2","1","si","tarjeta","57"
"462","15926953-4","338","38","6","1","si","tarjeta","67"
"463","12156610-1","212","2","7","4","no","tarjeta","76"
"472","11891446-1","104","14","11","4","no","tarjeta","80"
"479","9838255-4","395","71","9","2","no","efectivo","88"
"483","17031562-k","40","9","3","1","si","tarjeta","64"
"488","13093244-7","275","62","3","3","si","tarjeta","68"
"495","9199929-7","177","72","3","6","no","efectivo","40"
"497","10811644-4","517","102","7","1","si","tarjeta","37"
"498","10081293-7","635","100","2","1","no","efectivo","39"
"502","19391599-3","480","46","7","7","no","tarjeta","75"
"504","11813185-2","567","105","3","3","no","tarjeta","85"
"520","20414207-0","335","73","6","4","si","efectivo","56"
"523","10818037-7","382","13","8","1","si","efectivo","22"
"524","20116004-3","227","88","6","2","no","efectivo","38"
"526","9136887-1","544","75","2","1","no","efectivo","42"
"530","9092073-3","65","20","5","1","si","efectivo","97"
"532","17393327-0","481","18","1","5","no","tarjeta","93"
"536","13287652-4","422","80","6","1","no","efectivo","62"
"538","18077104-3","438","69","4","3","no","tarjeta","89"
"541","20287021-8","63","111","5","7","si","tarjeta","82"
"542","12758246-0","191","98","1","1","si","efectivo","80"
"543","17771891-0","464","62","5","2","no","efectivo","64"
"547","10522712-1","204","8","6","1","si","tarjeta","61"
"549","9838255-4","526","25","1","7","si","efectivo","51"
"551","13579572-3","107","1","2","6","no","efectivo","17"
"552","11255458-6","191","98","1","1","no","efectivo","80"
"555","11292025-k","443","106","1","1","no","tarjeta","92"
"562","9751365-6","468","40","8","1","no","efectivo","51"
"563","8977076-k","296","66","7","7","si","tarjeta","60"
"565","8475507-3","374","26","7","7","si","efectivo","29"
"566","10407178-k","501","5","2","4","no","efectivo","88"
"572","20411326-6","10","9","4","1","no","efectivo","99"
"575","9969055-k","550","75","9","1","no","efectivo","19"
"576","16114768-4","629","31","7","1","no","efectivo","43"
"579","20045388-0","400","105","6","1","si","tarjeta","76"
"580","16505716-0","380","110","4","4","si","efectivo","18"
"583","11642766-6","639","71","7","7","no","efectivo","67"
"589","9205611-4","313","68","3","5","no","efectivo","82"
"597","10036675-3","146","9","12","4","si","tarjeta","90"
"600","12428173-1","612","29","9","2","no","efectivo","48"
"601","19924071-3","377","52","6","6","no","tarjeta","69"
"603","18057877-8","63","111","5","7","no","tarjeta","67"
"606","10399371-6","634","94","8","4","no","tarjeta","33"
"611","18586096-0","130","49","5","7","si","efectivo","44"
"612","8802201-0","6","6","4","5","no","tarjeta","78"
"613","16439419-7","513","77","4","7","no","efectivo","50"
"614","19679629-1","607","55","2","3","si","tarjeta","11"
"618","19924071-3","483","29","2","4","si","efectivo","61"
"619","12399948-4","82","23","2","6","no","efectivo","74"
"621","19984047-2","402","57","1","4","no","tarjeta","75"
"632","17406105-5","297","80","8","1","si","tarjeta","37"
"633","8764599-3","585","46","9","4","no","efectivo","87"
"636","10036675-3","45","24","12","4","no","tarjeta","15"
"639","20287021-8","38","3","4","5","no","efectivo","90"
"641","9647496-8","608","83","10","1","no","efectivo","91"
"645","19157604-7","599","77","14","1","no","efectivo","28"
"652","9497827-6","629","31","7","1","no","tarjeta","73"
"653","10928461-8","646","87","10","2","si","efectivo","61"
"657","8191904-7","324","56","9","4","no","efectivo","99"
"660","18783342-5","176","78","3","7","si","tarjeta","26"
"669","14373370-8","411","69","1","4","no","tarjeta","50"
"670","16765728-4","490","104","7","7","no","efectivo","28"
"672","17534634-6","575","46","1","7","no","tarjeta","70"
"673","8703104-5","430","106","1","2","no","efectivo","23"
"674","11276563-9","138","96","3","1","no","tarjeta","99"
"675","11474375-k","605","83","3","2","si","efectivo","72"
"676","19528301-0","228","52","7","1","no","tarjeta","100"
"679","10348708-7","287","87","2","1","si","efectivo","22"
"680","10789677-6","613","68","2","5","no","tarjeta","72"
"683","9647496-8","351","2","1","4","no","tarjeta","76"
"691","10499395-2","374","26","7","7","si","tarjeta","86"
"692","12905321-7","122","93","5","7","si","efectivo","71"
"695","13426811-8","385","80","3","3","si","tarjeta","76"
"696","8475507-3","483","29","2","4","si","tarjeta","68"
"700","10542388-9","382","13","8","1","si","efectivo","63"
"701","18057877-8","466","82","5","6","si","efectivo","70"
"704","8886808-6","84","3","12","4","no","tarjeta","16"
"709","14132290-1","491","78","8","1","si","tarjeta","62"
"716","9360903-7","190","90","10","4","si","tarjeta","69"
"719","14749199-3","463","102","6","4","no","efectivo","92"
"720","16765728-4","359","101","5","4","si","efectivo","40"
"724","8831228-0","543","7","11","1","si","efectivo","61"
"725","8882572-6","648","26","1","5","si","tarjeta","61"
"726","16439419-7","550","75","9","1","no","efectivo","98"
"732","13600001-k","67","113","3","1","si","tarjeta","47"
"740","11937881-7","131","17","1","6","si","tarjeta","68"
"741","14373370-8","459","61","8","6","si","tarjeta","15"
"743","17820991-4","626","99","2","4","si","efectivo","19"
"744","20116004-3","93","48","7","2","si","efectivo","48"
"752","12213908-1","297","80","8","1","no","efectivo","88"
"758","16907632-4","340","2","2","4","si","efectivo","80"
"760","10727329-0","315","99","5","5","no","efectivo","62"
"762","8475507-3","142","97","12","4","no","efectivo","79"
"765","8886808-6","51","85","7","2","no","tarjeta","71"
"767","13072955-2","491","78","8","1","no","tarjeta","93"
"768","18661228-k","470","61","14","1","si","efectivo","45"
"786","16915316-k","328","55","2","1","no","efectivo","80"
"789","16439783-k","71","23","4","5","si","efectivo","18"
"790","17031562-k","85","109","8","2","si","tarjeta","59"
"794","16049832-6","376","59","10","1","si","efectivo","68"
"795","19467963-8","366","94","2","5","si","efectivo","32"
"796","8252253-7","150","39","5","7","no","tarjeta","82"
"801","20905067-k","450","12","13","1","no","tarjeta","66"
"802","20372200-2","108","35","2","6","no","tarjeta","30"
"806","11937881-7","467","8","1","1","si","tarjeta","60"
"809","19979491-4","463","102","6","4","no","efectivo","84"
"810","19248773-0","411","69","1","4","si","tarjeta","75"
"812","8219361-0","124","32","8","2","no","efectivo","73"
"817","11163437-7","129","22","2","6","si","tarjeta","29"
"818","14894546-k","414","60","6","6","no","efectivo","14"
"820","17461603-k","588","8","3","7","si","tarjeta","93"
"824","20764295-8","19","113","2","6","no","efectivo","28"
"826","19970660-k","372","5","12","1","no","efectivo","17"
"827","20411326-6","553","61","1","5","no","efectivo","86"
"842","20110809-8","616","84","8","1","si","efectivo","89"
"852","19152630-4","274","34","9","2","no","tarjeta","100"
"856","14749199-3","158","107","4","6","no","tarjeta","80"
"860","9205611-4","605","83","3","2","no","efectivo","25"
"880","13251363-0","441","98","5","2","no","tarjeta","47"
"883","8191904-7","639","71","7","7","si","tarjeta","61"
"889","16505716-0","494","21","1","3","si","tarjeta","10"
"892","10811644-4","419","74","5","6","no","efectivo","68"
"893","12623728-2","385","80","3","3","no","tarjeta","25"
"895","19473444-k","536","28","4","7","no","tarjeta","21"
"896","12758246-0","98","17","4","5","si","efectivo","53"
"905","11474375-k","629","31","7","1","no","efectivo","67"
"907","10240021-9","623","95","2","2","no","efectivo","40"
"908","10614220-k","616","84","8","1","no","tarjeta","96"
"912","10006458-2","560","7","1","1","si","efectivo","11"
"919","8535449-k","592","110","7","7","no","efectivo","19"
"921","8764599-3","268","70","7","7","si","efectivo","86"
"925","19984047-2","596","13","4","2","si","efectivo","79"
"926","11135976-6","373","69","1","7","si","tarjeta","27"
"928","10081293-7","605","83","3","2","si","tarjeta","22"
"929","19026717-9","156","68","3","2","no","efectivo","86"
"931","17534634-6","404","73","6","2","si","efectivo","31"
"934","19294495-9","491","78","8","1","no","tarjeta","18"
"935","12383272-4","603","71","2","3","no","tarjeta","38"
"939","9199929-7","561","69","3","6","si","tarjeta","45"
"941","16765888-6","581","46","8","4","no","efectivo","86"
"943","20199967-9","592","110","7","7","si","efectivo","90"
"944","16439419-7","491","78","8","1","si","tarjeta","89"
"949","19973449-7","55","20","4","1","si","efectivo","26"
"950","12156610-1","653","80","8","6","no","tarjeta","81"
"951","18660825-4","510","5","6","1","si","tarjeta","42"
"975","18770893-3","508","54","11","1","no","efectivo","86"
"977","10584155-4","55","20","4","1","si","tarjeta","30"
"978","10789677-6","392","99","8","1","no","tarjeta","11"
"982","11211375-1","200","52","5","2","no","tarjeta","45"
"990","10647983-4","197","4","3","7","no","tarjeta","67"
"995","11564773-3","15","91","4","5","si","tarjeta","10"
"1000","18660825-4","457","88","4","6","no","tarjeta","27"
"1003","20549985-9","376","59","10","1","si","tarjeta","61"
"1004","10811644-4","662","61","7","7","no","efectivo","24"
"1007","12399948-4","561","69","3","6","no","tarjeta","58"
"1008","9564634-0","612","29","9","2","no","efectivo","99"
"1009","20029942-1","361","117","6","4","si","efectivo","43"
"1012","18622587-k","74","22","8","2","no","efectivo","94"
"1014","12430837-2","607","55","2","3","no","tarjeta","85"
"1015","9150059-0","114","37","5","1","si","efectivo","28"
"1029","19116057-2","565","81","4","6","si","tarjeta","67"
"1032","17181473-0","515","60","7","7","si","tarjeta","36"
"1033","19954170-0","90","39","8","2","no","tarjeta","27"
"1036","9834713-5","102","96","4","1","si","tarjeta","17"
"1041","8764599-3","231","60","9","1","si","efectivo","48"
"1043","17738566-5","530","92","4","6","no","tarjeta","61"
"1044","14247247-4","197","4","3","7","no","tarjeta","58"
"1050","11610579-3","266","69","11","1","si","tarjeta","18"
"1051","18218939-9","645","60","13","1","no","efectivo","89"
"1055","8977076-k","481","18","1","5","si","efectivo","73"
"1056","19973449-7","27","16","5","1","no","efectivo","97"
"1065","20865966-5","658","29","1","7","si","efectivo","98"
"1066","17181473-0","255","71","1","1","si","tarjeta","86"
"1072","13705952-1","156","68","3","2","no","tarjeta","51"
"1074","15210943-3","597","11","5","6","no","tarjeta","48"
"1080","9501589-0","306","12","10","2","si","efectivo","71"
"1087","15130000-9","75","86","5","7","no","tarjeta","57"
"1098","17094062-3","495","57","2","5","no","efectivo","43"
"1101","17008439-3","376","59","10","1","no","tarjeta","47"
"1108","12108050-4","359","101","5","4","si","tarjeta","89"
"1115","8886808-6","130","49","5","7","no","tarjeta","50"
"1117","10727329-0","163","76","9","2","no","tarjeta","36"
"1120","8802201-0","559","98","12","1","no","efectivo","100"
"1121","12623728-2","372","5","12","1","si","efectivo","87"
"1122","13600001-k","619","21","8","6","no","tarjeta","80"
"1129","20036172-6","297","80","8","1","si","tarjeta","39"
"1131","20372200-2","565","81","4","6","no","efectivo","25"
"1132","15717735-9","176","78","3","7","no","tarjeta","58"
"1145","11276563-9","541","98","3","5","no","efectivo","69"
"1146","10818037-7","401","76","3","6","si","tarjeta","23"
"1147","9501589-0","619","21","8","6","no","efectivo","82"
"1150","16439419-7","71","23","4","5","no","tarjeta","85"
"1162","19979491-4","170","21","8","1","no","efectivo","31"
"1169","8703104-5","124","32","8","2","no","tarjeta","21"
"1171","18600532-8","114","37","5","1","no","tarjeta","71"
"1172","8733050-1","511","25","9","2","no","tarjeta","46"
"1173","9596812-6","219","98","3","7","si","efectivo","94"
"1175","10313918-0","642","58","2","4","si","efectivo","84"
"1177","11648952-8","501","5","2","4","si","tarjeta","53"
"1178","9596812-6","221","18","7","7","no","efectivo","39"
"1181","15717735-9","340","2","2","4","si","tarjeta","36"
"1193","12383272-4","625","60","3","6","no","tarjeta","82"
"1196","13767966-8","460","75","4","7","si","efectivo","82"
"1197","11610579-3","355","56","5","2","no","efectivo","42"
"1198","8475507-3","81","89","5","3","no","efectivo","88"
"1209","10240021-9","413","102","6","6","no","efectivo","65"
"1212","17008439-3","409","36","3","7","si","efectivo","90"
"1213","9093465-9","356","5","10","2","no","efectivo","12"
"1215","12344953-1","4","1","7","2","si","tarjeta","92"
"1217","8733050-1","493","99","7","6","no","efectivo","98"
"1222","15370277-8","476","2","7","7","no","tarjeta","62"
"1230","18595277-3","343","18","11","1","no","tarjeta","39"
"1238","9647496-8","62","86","5","3","si","efectivo","51"
"1241","9105934-8","606","56","13","1","si","tarjeta","23"
"1253","20549985-9","650","72","1","3","si","efectivo","30"
"1254","11648952-8","235","55","9","4","si","efectivo","50"
"1255","16915316-k","78","23","5","7","si","efectivo","49"
"1269","12758246-0","401","76","3","6","si","efectivo","56"
"1271","16346514-9","194","71","8","4","si","tarjeta","12"
"1274","14966767-0","489","15","6","1","si","tarjeta","83"
"1276","20865966-5","340","2","2","4","si","efectivo","29"
"1277","18622587-k","77","16","5","7","si","efectivo","13"
"1285","15778657-5","476","2","7","7","no","tarjeta","22"
"1290","10522712-1","156","68","3","2","si","efectivo","66"
"1291","10584155-4","423","105","6","4","no","efectivo","87"
"1293","10407178-k","262","47","4","3","si","tarjeta","49"
"1297","10087763-k","73","3","1","6","si","tarjeta","84"
"1301","19443525-3","250","69","12","1","si","efectivo","65"
"1305","18218939-9","47","37","7","2","si","efectivo","75"
"1311","11344303-8","536","28","4","7","si","tarjeta","62"
"1314","20391171-2","543","7","11","1","no","efectivo","94"
"1316","15963325-4","144","27","1","6","no","tarjeta","94"
"1321","13360849-2","81","89","5","3","si","tarjeta","81"
"1332","16765888-6","478","4","8","1","no","efectivo","79"
"1335","15441231-4","155","46","1","2","si","tarjeta","18"
"1336","20956755-4","40","9","3","1","no","tarjeta","16"
"1346","8637460-6","358","98","4","6","si","tarjeta","56"
"1347","19924071-3","324","56","9","4","si","efectivo","19"
"1350","13251363-0","604","31","5","6","si","tarjeta","40"
"1351","15613342-5","282","74","2","5","no","efectivo","45"
"1363","12156610-1","582","83","8","1","si","tarjeta","94"
"1369","20143980-9","390","82","7","6","si","tarjeta","51"
"1371","20361077-5","285","29","13","1","si","efectivo","18"
"1373","15963325-4","182","58","3","4","si","efectivo","35"
"1378","17253905-6","468","40","8","1","si","tarjeta","59"
"1383","18770893-3","596","13","4","2","si","tarjeta","78"
"1386","19924071-3","560","7","1","1","si","efectivo","17"
"1387","17008439-3","455","38","11","1","si","tarjeta","37"
"1388","9464848-4","371","103","3","3","si","tarjeta","32"
"1389","16907632-4","572","38","3","4","si","tarjeta","68"
"1390","19927653-9","83","41","4","1","si","efectivo","72"
"1402","12428173-1","78","23","5","7","si","tarjeta","88"
"1403","20314770-3","530","92","4","6","si","efectivo","15"
"1404","10087763-k","7","109","5","3","no","efectivo","24"
"1406","9507902-2","427","13","1","5","si","tarjeta","72"
"1412","15484723-2","659","112","2","3","no","tarjeta","86"
"1416","15411573-1","292","98","6","1","si","tarjeta","81"
"1425","13093244-7","165","12","5","6","no","tarjeta","97"
"1429","18660333-3","488","69","5","6","si","efectivo","86"
"1435","18924857-0","646","87","10","2","no","tarjeta","12"
"1438","10019146-1","294","90","3","6","si","tarjeta","84"
"1439","20865966-5","336","34","3","6","no","efectivo","24"
"1453","19984047-2","559","98","12","1","no","efectivo","89"
"1459","9093465-9","56","115","5","7","no","tarjeta","11"
"1465","20143980-9","88","109","1","6","no","efectivo","78"
"1466","13705952-1","267","73","1","4","no","efectivo","19"
"1468","12656082-k","6","6","4","5","no","efectivo","15"
"1474","18331164-0","541","98","3","5","no","efectivo","62"
"1494","19009863-0","437","63","1","3","si","efectivo","85"
"1496","19924071-3","128","45","8","2","no","tarjeta","11"
"1499","9621176-0","200","52","5","2","si","tarjeta","84"
"1500","20780363-8","149","85","5","3","no","efectivo","77"
"1502","20199967-9","507","101","12","1","si","tarjeta","86"
"1506","11855650-3","640","90","3","7","no","efectivo","69"
"1511","8703104-5","355","56","5","2","si","tarjeta","72"
"1515","18660825-4","57","108","8","2","no","efectivo","71"
"1519","11276563-9","200","52","5","2","si","efectivo","24"
"1520","15113701-4","608","83","10","1","no","tarjeta","19"
"1523","11292025-k","99","49","1","6","no","tarjeta","99"
"1531","20350018-6","599","77","14","1","no","tarjeta","69"
"1537","20764295-8","99","49","1","6","si","tarjeta","10"
"1540","15485414-7","391","81","7","6","si","tarjeta","55"
"1542","8475507-3","572","38","3","4","no","efectivo","10"
"1544","18595277-3","10","9","4","1","si","tarjeta","18"
"1549","11610579-3","645","60","13","1","si","tarjeta","95"
"1550","20780363-8","471","80","14","1","no","efectivo","48"
"1557","10614220-k","425","42","3","7","si","tarjeta","18"
"1561","9501589-0","646","87","10","2","no","tarjeta","41"
"1562","14916521-3","199","76","3","7","no","efectivo","38"
"1566","17399902-5","380","110","4","4","si","efectivo","21"
"1568","13426811-8","78","23","5","7","si","tarjeta","16"
"1577","19927653-9","162","107","8","6","no","tarjeta","57"
"1579","18770893-3","355","56","5","2","si","efectivo","31"
"1584","17094062-3","144","27","1","6","si","tarjeta","33"
"1587","19486046-8","43","20","8","2","no","tarjeta","55"
"1588","17708405-5","204","8","6","1","no","efectivo","81"
"1594","20549985-9","429","103","3","5","no","efectivo","85"
"1599","10606931-7","222","66","3","7","no","efectivo","41"
"1601","10499395-2","640","90","3","7","si","tarjeta","41"
"1602","18924857-0","454","21","2","3","si","efectivo","92"
"1603","18660825-4","183","71","14","1","si","tarjeta","69"
"1609","20411326-6","473","83","7","6","no","efectivo","82"
"1612","13600001-k","83","41","4","1","no","efectivo","66"
"1615","8431864-6","404","73","6","2","no","tarjeta","85"
"1623","11796245-6","169","65","6","6","si","efectivo","76"
"1625","15407187-1","169","65","6","6","no","efectivo","13"
"1626","10036675-3","594","114","9","1","no","tarjeta","75"
"1627","16274390-4","298","36","6","4","no","tarjeta","35"
"1633","20314770-3","400","105","6","1","si","tarjeta","69"
"1636","14247247-4","287","87","2","1","si","tarjeta","100"
"1640","10313918-0","9","35","5","1","no","tarjeta","51"
"1643","8111299-0","519","99","8","6","si","tarjeta","70"
"1648","20036172-6","302","116","6","7","no","efectivo","38"
"1650","14749199-3","338","38","6","1","no","tarjeta","19"
"1651","9464848-4","42","49","7","2","no","tarjeta","37"
"1652","12758246-0","119","17","2","6","no","efectivo","54"
"1655","16322069-9","148","50","5","1","no","efectivo","59"
"1659","12383272-4","32","23","11","4","si","efectivo","57"
"1661","16379232-0","147","108","7","2","no","tarjeta","82"
"1663","20036172-6","209","114","8","4","no","tarjeta","62"
"1667","17031562-k","208","73","2","3","no","tarjeta","82"
"1670","15787804-8","329","116","7","7","si","efectivo","21"
"1671","15111350-2","432","64","8","1","no","tarjeta","82"
"1673","14916521-3","563","62","2","1","si","tarjeta","66"
"1675","8733050-1","510","5","6","1","no","tarjeta","84"
"1676","13072955-2","570","78","4","7","no","tarjeta","46"
"1681","16049832-6","194","71","8","4","si","efectivo","52"
"1682","20670201-1","183","71","14","1","no","efectivo","36"
"1684","20036172-6","651","83","4","3","no","tarjeta","55"
"1686","11276563-9","30","89","4","1","no","tarjeta","37"
"1687","20287021-8","571","13","3","7","si","tarjeta","33"
"1701","8578662-0","222","66","3","7","no","efectivo","82"
"1702","11163437-7","453","101","5","2","si","efectivo","84"
"1706","15905243-1","422","80","6","1","no","tarjeta","72"
"1711","15441231-4","481","18","1","5","no","tarjeta","66"
"1712","16765888-6","105","96","8","2","si","efectivo","91"
"1713","12995119-8","139","45","7","2","no","tarjeta","38"
"1716","18813263-4","300","83","12","1","no","tarjeta","15"
"1717","20361077-5","69","24","11","4","si","tarjeta","79"
"1722","8637460-6","661","11","5","5","si","efectivo","37"
"1726","11474037-4","93","48","7","2","no","tarjeta","75"
"1729","19954170-0","370","112","8","4","si","efectivo","22"
"1730","10019146-1","550","75","9","1","si","tarjeta","41"
"1737","10789677-6","131","17","1","6","no","efectivo","28"
"1743","10313918-0","111","51","7","2","si","efectivo","99"
"1748","8886808-6","360","64","1","7","no","efectivo","67"
"1749","11163437-7","471","80","14","1","no","tarjeta","10"
"1750","15777229-1","549","38","5","6","no","tarjeta","96"
"1751","16055411-1","547","36","1","4","si","efectivo","53"
"1754","10499395-2","320","102","3","2","no","efectivo","55"
"1756","15130000-9","138","96","3","1","no","tarjeta","52"
"1758","19924071-3","216","15","13","1","no","efectivo","24"
"1759","12995226-7","139","45","7","2","si","tarjeta","31"
"1766","9939011-3","557","102","6","1","no","efectivo","17"
"1769","13451617-5","336","34","3","6","si","tarjeta","14"
"1772","16379232-0","222","66","3","7","no","efectivo","81"
"1779","17155448-5","434","62","1","1","si","tarjeta","75"
"1785","17534634-6","535","87","5","6","no","tarjeta","88"
"1787","8705278-3","188","73","2","2","no","efectivo","42"
"1792","11610579-3","648","26","1","5","no","tarjeta","76"
"1793","13426811-8","192","88","2","1","si","tarjeta","48"
"1795","16874860-8","196","82","8","1","no","tarjeta","90"
"1796","9501589-0","606","56","13","1","no","tarjeta","24"
"1803","16478405-9","635","100","2","1","no","efectivo","86"
"1805","16439783-k","352","18","3","7","no","tarjeta","55"
"1806","18049175-k","217","80","5","6","si","tarjeta","25"
"1807","8191904-7","367","44","3","2","si","tarjeta","51"
"1815","13527954-6","157","59","4","2","no","efectivo","64"
"1817","14123263-6","346","82","8","4","si","tarjeta","67"
"1819","18595277-3","527","107","2","2","no","tarjeta","47"
"1820","16765728-4","44","24","2","6","no","tarjeta","76"
"1821","8764599-3","18","41","11","4","si","tarjeta","72"
"1827","19486046-8","561","69","3","6","no","tarjeta","55"
"1829","16439783-k","54","45","1","6","no","efectivo","40"
"1833","19391599-3","405","104","1","3","si","efectivo","10"
"1838","17008439-3","97","35","5","3","no","efectivo","90"
"1841","20414207-0","439","75","3","4","si","tarjeta","14"
