"RutCliente","NúmProducto","Fecha"
"8740225-6","7","2012-07-21"
"8764599-3","7","2011-12-29"
"8882572-6","7","2010-04-22"
"9055945-1","7","2010-08-18"
"9085331-7","7","2012-09-27"
"9199929-7","7","2011-12-04"
"9286538-3","7","2012-03-16"
"9965544-2","7","2011-11-27"
"10013917-4","8","2010-04-05"
"10064831-2","8","2011-08-19"
"10175302-0","8","2010-06-29"
"10175302-0","8","2011-10-04"
"10240021-9","8","2011-08-01"
"10342678-8","8","2012-04-10"
"10348169-5","8","2010-11-08"
"10348708-7","8","2011-05-08"
"10542388-9","8","2012-09-11"
"10693941-0","8","2011-09-02"
"10715773-7","8","2011-06-23"
"10774675-3","8","2012-05-30"
"10789677-6","8","2010-04-20"
"10928461-8","8","2010-08-15"
"11336301-8","8","2011-03-07"
"11655553-0","8","2011-08-09"
"11655553-0","8","2011-10-04"
"11666789-9","8","2011-01-14"
"11894783-5","8","2011-12-23"
"12141655-1","8","2010-07-06"
"12156610-1","8","2012-02-22"
"12597738-3","8","2011-05-26"
"12690699-2","8","2011-04-20"
"12758246-0","8","2010-10-10"
"12765419-1","8","2011-04-04"
"13615018-5","8","2012-01-28"
"14218125-7","8","2012-08-30"
"14412228-k","8","2012-06-14"
"14427648-k","8","2011-11-03"
"14439096-2","8","2010-10-04"
"14487518-3","8","2010-12-31"
"14701618-1","8","2011-02-24"
"14916521-3","8","2012-06-26"
"15395078-9","8","2012-05-12"
"15485703-6","8","2012-05-06"
"15609542-8","8","2010-09-04"
"15633204-k","8","2012-03-11"
"16036699-4","8","2012-08-14"
"16439783-k","8","2011-08-25"
"16895570-k","8","2010-11-08"
"17008439-3","8","2010-12-21"
"17092438-2","8","2010-05-14"
"17363606-8","8","2010-09-12"
"17631731-6","8","2012-07-13"
"17785357-0","8","2011-02-07"
"17933811-5","8","2011-08-16"
"18169938-0","8","2012-07-12"
"18206492-4","8","2011-11-12"
"18474437-5","8","2010-05-18"
"18626693-2","8","2011-01-20"
"18661228-k","8","2011-09-26"
"18809431-8","8","2010-04-22"
"18963549-0","8","2012-05-20"
"19193124-4","8","2012-01-24"
"19467963-8","8","2011-07-08"
"19473500-2","8","2010-09-21"
"19552856-3","8","2010-08-31"
"19603331-0","8","2011-02-17"
"19837396-5","8","2010-05-13"
"19954170-0","8","2011-08-03"
"19971970-1","8","2012-05-19"
"20287021-8","8","2011-08-24"
"20319057-9","8","2011-02-06"
"20411326-6","8","2012-05-16"
"20549985-9","8","2011-09-15"
"20667927-9","8","2011-03-18"
"20761160-4","8","2012-09-28"
"20762457-k","8","2011-09-17"
"8087060-3","8","2010-05-06"
"8475507-3","8","2012-01-29"
"8681925-k","8","2011-06-11"
"8740225-6","8","2012-02-22"
"9044598-1","8","2012-01-17"
"9085926-7","8","2010-11-12"
"9199929-7","8","2011-12-09"
"9216496-2","8","2011-02-05"
"9497827-6","8","2011-03-22"
"9682633-8","8","2010-10-16"
"9751365-6","8","2011-10-09"
"10441269-7","9","2010-07-06"
"10441269-7","9","2011-02-08"
"10581922-6","9","2011-10-04"
"10915947-6","9","2010-11-08"
"12398878-3","9","2012-02-16"
"12604212-5","9","2010-09-11"
"12764959-0","9","2011-08-22"
"12964476-k","9","2011-04-18"
"13072955-2","9","2011-11-23"
"13114612-9","9","2012-02-06"
"13251363-0","9","2011-11-28"
"13287652-4","9","2011-10-31"
"13541770-5","9","2010-11-03"
"13603059-3","9","2012-09-16"
"13644034-0","9","2012-04-20"
"13940979-6","9","2010-12-20"
"14123263-6","9","2010-08-14"
"14427648-k","9","2011-01-02"
"14487518-3","9","2010-08-21"
"14609900-6","9","2010-06-07"
"14616063-6","9","2010-04-28"
"14749199-3","9","2011-06-25"
"15411573-1","9","2012-06-25"
"15605839-1","9","2011-05-18"
"15979046-4","9","2012-03-27"
"16036699-4","9","2011-10-13"
"16302450-4","9","2010-09-19"
"16494777-6","9","2011-01-11"
"16843845-5","9","2010-07-09"
"17210477-3","9","2011-01-06"
"17266587-6","9","2010-09-23"
"17534634-6","9","2011-09-29"
"17777198-7","9","2010-10-11"
"17800863-3","9","2012-05-17"
"18131389-7","9","2010-05-18"
"18331164-0","9","2010-10-14"
"18374033-5","9","2010-05-21"
"18407045-3","9","2010-10-06"
"18606698-6","9","2011-03-25"
"18674335-1","9","2011-04-04"
"18864795-0","9","2011-12-05"
"19255050-9","9","2010-09-05"
"19552856-3","9","2010-11-09"
"19554510-1","9","2012-02-17"
"19603331-0","9","2010-09-28"
"20017419-6","9","2011-11-14"
"20139439-8","9","2011-06-12"
"20139439-8","9","2011-08-04"
"20294955-1","9","2012-05-27"
"20305893-5","9","2010-07-21"
"20319057-9","9","2010-11-19"
"20414207-0","9","2010-10-29"
"20650469-3","9","2011-07-09"
"8114563-0","9","2011-07-16"
"8261464-7","9","2011-05-18"
"8560937-4","9","2011-09-06"
"8578662-0","9","2010-11-01"
"8620047-9","9","2011-04-02"
"8700222-4","9","2011-09-24"
"8700222-4","9","2012-04-01"
"8703104-5","9","2012-03-30"
"8986755-6","9","2010-12-13"
"9955773-7","9","2011-12-23"
"10175302-0","10","2011-04-03"
"10342678-8","10","2010-07-17"
"10409105-6","10","2010-04-13"
"10550050-8","10","2012-07-24"
"10913321-4","10","2010-06-17"
"11068671-k","10","2011-07-23"
"11148305-4","10","2012-08-12"
"11352923-2","10","2011-10-21"
"11682461-5","10","2011-02-17"
"11813185-2","10","2011-06-17"
"12213908-1","10","2012-09-08"
"12611884-7","10","2010-04-05"
"12877558-6","10","2012-04-23"
"12977668-4","10","2011-10-24"
"13177183-6","10","2011-07-08"
"13327869-1","10","2012-05-24"
"13472983-4","10","2011-04-28"
"13527954-6","10","2011-08-01"
"13945714-8","10","2011-08-29"
"14247247-4","10","2012-01-06"
"14257574-0","10","2010-10-08"
"14257574-0","10","2012-05-01"
"14332941-7","10","2012-09-13"
"14524782-6","10","2011-09-09"
"14691783-5","10","2011-09-08"
"14701618-1","10","2011-06-24"
"14774360-1","10","2010-11-30"
"14916521-3","10","2011-05-13"
"15370277-8","10","2010-12-12"
"15395078-9","10","2011-12-03"
"15469103-3","10","2011-03-06"
"15668385-1","10","2012-03-19"
"15682738-4","10","2011-03-12"
"15730407-4","10","2011-12-09"
"15736925-1","10","2012-06-22"
"15787804-8","10","2012-07-23"
"15863818-8","10","2011-02-10"
"16047416-1","10","2010-10-14"
"16155973-3","10","2010-04-08"
"16315245-4","10","2011-06-24"
"16636715-1","10","2012-05-13"
"16733473-6","10","2011-08-21"
"16733473-6","10","2012-10-01"
"16873584-0","10","2011-11-22"
"17442488-5","10","2012-07-20"
"17494047-6","10","2011-01-19"
"17626467-5","10","2012-10-01"
"17777198-7","10","2010-09-26"
"17960078-1","10","2012-03-25"
"18218939-9","10","2012-02-01"
"18437929-9","10","2011-12-12"
"18450769-6","10","2010-09-10"
"18552186-0","10","2012-02-22"
"18586096-0","10","2012-03-09"
"18743719-5","10","2010-07-25"
"18866491-0","10","2012-05-26"
"18882428-8","10","2011-11-27"
"19026961-3","10","2010-09-19"
"19248773-0","10","2011-07-12"
"19973449-7","10","2011-05-20"
"20110809-8","10","2012-01-29"
"20305893-5","10","2011-06-06"
"20780363-8","10","2011-10-16"
"20796416-9","10","2010-08-07"
"20892590-3","10","2011-06-17"
"20949049-6","10","2010-04-15"
"8073761-2","10","2012-03-10"
"8092094-4","10","2010-07-05"
"8114563-0","10","2011-04-19"
"8219361-0","10","2010-06-23"
"8389163-2","10","2012-02-07"
"8408693-9","10","2011-11-10"
"8740225-6","10","2012-05-27"
"8799113-0","10","2012-03-19"
"8882572-6","10","2011-07-09"
"9150059-0","10","2012-05-12"
"9261119-6","10","2011-09-06"
"9984013-9","10","2011-04-20"
"9997220-5","10","2012-06-23"
"10013917-4","11","2010-12-22"
"10274120-1","11","2012-04-02"
"10297836-4","11","2012-08-26"
"10542388-9","11","2010-08-18"
"10620918-k","11","2011-05-17"
"10627199-5","11","2011-05-04"
"10627199-5","11","2011-10-30"
"10767560-9","11","2010-11-03"
"10767560-9","11","2011-03-07"
"10767560-9","11","2012-01-10"
"10798961-2","11","2010-05-11"
"10908890-4","11","2011-06-18"
"11048683-5","11","2011-07-27"
"11726357-3","11","2010-09-05"
"11751504-6","11","2010-11-08"
"11756496-7","11","2010-08-25"
"11907362-2","11","2011-10-28"
"12156610-1","11","2011-07-26"
"12535695-6","11","2011-08-18"
"12635560-3","11","2010-04-06"
"12758246-0","11","2010-05-12"
"12764959-0","11","2011-12-04"
"12934558-4","11","2012-07-10"
"12977668-4","11","2012-05-10"
"13051844-8","11","2012-01-01"
"13495835-8","11","2010-12-03"
"13823508-k","11","2012-04-01"
"14218125-7","11","2012-07-04"
"14427648-k","11","2011-09-18"
"14787470-2","11","2012-05-01"
"15113701-4","11","2012-07-01"
"15717735-9","11","2010-05-25"
"15738269-9","11","2012-04-14"
"16846507-0","11","2010-12-08"
"17155448-5","11","2011-10-27"
"17168684-9","11","2012-07-07"
"17494047-6","11","2010-05-05"
"17711142-1","11","2011-11-03"
"17738566-5","11","2011-07-22"
"17978708-k","11","2010-11-06"
"18129935-1","11","2010-12-17"
"18247213-3","11","2011-10-02"
"18586096-0","11","2011-09-13"
"18924857-0","11","2012-01-14"
"19417697-k","11","2011-06-17"
"19443525-3","11","2012-09-13"
"20058796-1","11","2012-07-16"
"20139439-8","11","2012-09-22"
"20199876-5","11","2012-01-21"
"20288978-k","11","2010-11-03"
"20518780-8","11","2012-06-20"
"20659036-2","11","2012-03-02"
"20819150-8","11","2010-08-05"
"8073761-2","11","2012-01-02"
"8705278-3","11","2010-08-23"
"8705278-3","11","2012-06-25"
"8882572-6","11","2011-06-18"
"8943136-3","11","2011-02-27"
"9044598-1","11","2012-08-03"
"9054608-5","11","2011-07-02"
"9445879-6","11","2012-05-28"
"9507902-2","11","2011-06-15"
"9507902-2","11","2011-09-21"
"9528123-5","11","2010-05-17"
"9613633-k","11","2011-07-26"
"9613633-k","11","2012-06-27"
"10428168-8","12","2012-06-20"
"10606931-7","12","2010-06-20"
"11648952-8","12","2012-07-02"
"11700326-1","12","2011-06-04"
"11891446-1","12","2010-08-25"
"11893748-7","12","2012-09-30"
"11943813-5","12","2011-08-22"
"12086364-5","12","2011-05-19"
"12430837-2","12","2010-09-29"
"12557352-7","12","2011-05-13"
"12764959-0","12","2011-04-26"
"12877558-6","12","2010-10-19"
"12977668-4","12","2011-10-29"
"12995226-7","12","2010-11-02"
"13310724-9","12","2011-02-28"
"13543687-5","12","2011-01-02"
"13595142-k","12","2011-04-30"
